Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata
Aceh,1993,1329536.0,323589.0,1627.0,82.0,26.06
Aceh,1994,1299699.0,329041.0,1521.0,82.12,26.92
Aceh,1995,1382905.0,339253.0,1476.0,82.72,26.27
Aceh,1996,1419128.0,348223.0,1557.0,83.0,26.08
Aceh,1997,1368074.0,337561.0,1339.0,82.46,26.31
Aceh,1998,1404580.0,365892.0,1465.0,82.6,26.84
Aceh,1999,1478712.0,359817.0,1778.0,82.79,26.14
Aceh,2000,1486909.0,336765.0,1974.7,90.6,27.1
Aceh,2001,1547499.0,295212.0,1688.7,69.48,28.9
Aceh,2002,1314165.0,315131.0,1296.8,68.75,29.2
Aceh,2003,1246614.0,367636.0,1507.2,70.66,29.4
Aceh,2004,1350748.0,370966.0,1097.0,80.84,29.4
Aceh,2005,1411650.0,337893.0,710.5,79.5,26.8
Aceh,2006,1552078.0,320789.0,506.5,80.8,26.73
Aceh,2007,1556858.0,360717.0,1414.0,81.5,26.38
Aceh,2008,1402287.0,329109.0,1270.4,78.5,27.0
Aceh,2009,1533369.0,359375.0,1577.0,78.7,26.9
Aceh,2010,1788738.0,352281.0,1986.0,81.4,27.1
Aceh,2011,1772962.0,380686.0,1268.0,79.4,27.1
Aceh,2012,1582393.0,387803.0,1098.0,79.6,26.9
Aceh,2013,2331046.0,419183.0,1623.6,80.7,27.0
Aceh,2014,1820062.0,376137.0,2264.4,78.3,27.1
Aceh,2015,1956940.0,461060.0,1575.0,80.0,27.1
Aceh,2016,2180754.0,293067.0,1096.0,83.32,27.12
Aceh,2017,2478922.0,294483.0,1905.9,85.57,26.51
Aceh,2018,1751996.94,329515.78,1427.8,83.98,26.48
Aceh,2019,1714437.6,310012.46,1931.4,83.9,26.65
Aceh,2020,1861567.1,317869.41,1619.2,80.82,25.41
Sumatera Utara,1993,2918152.0,754569.0,2549.4,83.8,26.45
Sumatera Utara,1994,3079960.0,792534.0,2166.5,83.79,26.4
Sumatera Utara,1995,3134533.0,795183.0,2917.1,81.68,26.58
Sumatera Utara,1996,3136760.0,790051.0,2326.5,81.31,26.33
Sumatera Utara,1997,3212208.0,797545.0,1865.0,81.81,26.4
Sumatera Utara,1998,3321049.0,823749.0,2496.9,83.53,27.16
Sumatera Utara,1999,3451430.0,838626.0,3087.3,84.56,26.45
Sumatera Utara,2000,3514253.0,847610.0,1289.5,82.94,27.7
Sumatera Utara,2001,3291515.0,801948.0,3595.3,72.78,28.03
Sumatera Utara,2002,3153305.0,765161.0,1944.9,72.31,28.45
Sumatera Utara,2003,3403075.0,825188.0,3140.2,72.08,29.59
Sumatera Utara,2004,3418782.0,826091.0,2406.9,80.79,29.27
Sumatera Utara,2005,3447394.0,822073.0,776.7,83.8,27.0
Sumatera Utara,2006,3007636.0,705023.0,222.5,81.0,27.8
Sumatera Utara,2007,3265834.0,750232.0,2513.0,82.0,27.0
Sumatera Utara,2008,3340794.0,748540.0,2442.0,81.4,26.9
Sumatera Utara,2009,3527899.0,768407.0,2184.0,86.0,27.1
Sumatera Utara,2010,3582302.0,754674.0,1903.3,78.55,27.18
Sumatera Utara,2011,3607403.0,757547.0,2042.0,79.0,27.2
Sumatera Utara,2012,3715514.0,765099.0,3175.0,76.0,27.3
Sumatera Utara,2013,3727249.0,742968.0,2627.0,78.67,28.8
Sumatera Utara,2014,3631039.0,717318.0,2148.0,79.0,27.9
Sumatera Utara,2015,4044829.0,781769.0,975.9,86.9,27.4
Sumatera Utara,2016,4387035.9,423029.0,2384.0,82.0,27.65
Sumatera Utara,2017,4669777.5,415675.0,3190.0,84.0,27.5
Sumatera Utara,2018,2108284.72,408176.45,2431.0,80.0,26.41
Sumatera Utara,2019,2078901.59,413141.24,1401.6,86.53,27.03
Sumatera Utara,2020,2076280.01,388591.22,1648.3,83.76,25.79
Sumatera Barat,1993,1806424.0,394412.0,5110.0,89.77,24.7
Sumatera Barat,1994,1747543.0,382740.0,4869.5,75.22,24.49
Sumatera Barat,1995,1829192.0,400627.0,5022.0,87.68,24.82
Sumatera Barat,1996,1971180.0,430343.0,3866.0,87.29,24.52
Sumatera Barat,1997,1787719.0,395728.0,2945.1,87.97,24.69
Sumatera Barat,1998,1807622.0,412810.0,5522.0,87.39,25.04
Sumatera Barat,1999,1897678.0,432254.0,4327.5,80.89,22.48
Sumatera Barat,2000,1759059.0,396919.0,3040.6,86.01,25.86
Sumatera Barat,2001,1668955.0,376710.0,2811.0,71.08,28.17
Sumatera Barat,2002,1875834.0,424253.0,4241.2,71.28,28.19
Sumatera Barat,2003,1823739.0,411860.0,4927.2,71.91,29.17
Sumatera Barat,2004,1875188.0,422582.0,4584.2,78.5,29.02
Sumatera Barat,2005,1907390.0,426950.0,1533.6,78.0,25.9
Sumatera Barat,2006,1889489.0,417846.0,776.0,79.0,26.05
Sumatera Barat,2007,1938120.0,423655.0,4329.0,85.3,25.7
Sumatera Barat,2008,1965634.0,421902.0,2552.5,86.2,25.4
Sumatera Barat,2009,2105790.0,439542.0,4691.0,86.2,25.5
Sumatera Barat,2010,2211248.0,460497.0,5228.0,87.2,25.8
Sumatera Barat,2011,2279602.0,461709.0,4959.5,54.2,26.0
Sumatera Barat,2012,2368390.0,476422.0,4339.0,87.0,25.2
Sumatera Barat,2013,2430384.0,487820.0,4627.9,86.91,25.1
Sumatera Barat,2014,2519020.0,503198.0,2838.4,85.35,25.7
Sumatera Barat,2015,2550609.0,507545.0,3548.0,84.0,26.5
Sumatera Barat,2016,2487929.0,222482.0,4205.2,76.49,23.26
Sumatera Barat,2017,2810425.0,222021.0,4553.0,75.11,22.19
Sumatera Barat,2018,1483076.48,313050.82,327.33,82.71,26.91
Sumatera Barat,2019,1482996.01,311671.23,4757.5,87.73,25.61
Sumatera Barat,2020,1450839.74,295664.47,4072.7,85.22,26.26
Riau,1993,436297.0,146133.0,2738.4,86.37,26.0
Riau,1994,445361.0,146177.0,1991.3,84.9,26.1
Riau,1995,458756.0,152204.0,3099.9,85.02,26.17
Riau,1996,461905.0,150354.0,2259.5,84.26,25.94
Riau,1997,416135.0,137953.0,1510.4,83.82,26.26
Riau,1998,370124.0,126280.0,2233.0,84.26,26.73
Riau,1999,461630.0,155683.0,2045.3,84.59,26.08
Riau,2000,431351.0,141640.0,2478.2,84.6,25.98
Riau,2001,413391.0,132507.0,2441.7,70.79,29.05
Riau,2002,396644.0,129025.0,3123.8,71.73,28.2
Riau,2003,414237.0,132887.0,3822.8,72.92,29.64
Riau,2004,454186.0,145239.0,2540.1,83.7,29.85
Riau,2005,424095.0,134418.0,1996.3,83.93,26.58
Riau,2006,42938.0,136177.0,537.6,79.6,27.7
Riau,2007,490087.0,147167.0,3216.3,85.3,27.1
Riau,2008,494260.0,147796.0,3026.2,80.2,27.4
Riau,2009,531429.0,149423.0,3390.0,76.2,27.7
